자치구,중구,용산구,동대문구,강북구,은평구,서대문구,마포구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구
2022.04.18.00,"40,717","67,727","116,596","92,973","148,853","99,203","121,588","78,536","136,920","131,377","163,959","129,567","167,673","216,673"
2022.04.17.00,"40,674","67,601","116,350","92,845","148,403","98,983","121,286","78,415","136,649","131,093","163,629","129,078","167,273","216,114"
2022.04.16.00,"40,537","67,283","115,869","92,485","147,635","98,449","120,732","78,081","136,093","130,491","162,877","128,530","166,533","215,190"
2022.04.15.00,"40,367","66,954","115,232","92,013","146,718","97,930","120,048","77,684","135,378","129,807","162,024","127,824","165,577","214,120"
2022.04.14.00,"40,139","66,525","114,543","91,446","145,834","97,312","119,286","77,180","134,461","128,896","160,980","126,996","164,469","212,832"
2022.04.13.00,"39,886","66,022","113,748","90,745","144,579","96,580","118,342","76,641","133,343","127,894","159,760","126,007","163,276","211,245"
2022.04.12.00,"39,558","65,406","112,739","89,922","142,784","95,708","117,087","75,863","131,986","126,574","158,122","124,654","161,672","209,160"
2022.04.11.00,"39,072","64,581","111,344","88,759","141,509","94,578","115,635","74,870","130,214","124,970","156,130","123,296","159,679","206,691"
2022.04.10.00,"38,944","64,379","110,858","88,454","140,526","94,116","115,129","74,605","129,693","124,353","155,505","122,558","158,879","205,835"
2022.04.09.00,"38,642","63,817","109,925","87,608","139,183","93,196","113,999","73,971","128,507","123,172","154,003","121,367","157,498","203,929"
2022.04.08.00,"38,308","63,204","108,878","86,700","137,720","92,178","112,784","73,198","127,213","121,902","152,369","120,129","156,032","201,971"
2022.04.07.00,"37,932","62,462","107,734","85,642","136,085","91,080","111,456","72,413","125,739","120,440","150,560","118,538","154,278","199,533"
2022.04.06.00,"37,453","61,713","106,391","84,605","134,225","89,871","110,027","71,518","123,923","118,873","148,448","117,111","152,311","197,076"
2022.04.05.00,"36,831","60,669","104,639","83,175","131,564","88,253","108,200","70,154","121,606","116,767","145,945","115,041","149,693","193,950"
2022.04.04.00,"36,186","59,481","102,770","81,338","129,808","86,682","106,277","68,758","119,551","114,947","143,361","113,180","147,185","190,509"
2022.04.03.00,"36,016","59,159","102,116","80,871","128,392","86,071","105,588","68,419","118,747","114,127","142,132","112,066","146,066","189,194"
2022.04.02.00,"35,514","58,346","100,790","79,617","126,538","84,881","104,108","67,415","116,810","112,388","140,075","110,860","143,991","186,406"
2022.04.01.00,"34,962","57,400","99,200","78,184","124,138","83,417","102,417","66,307","114,927","110,420","137,735","109,089","141,523","183,368"
2022.03.31.00,"34,378","56,518","97,440","76,706","121,960","81,785","100,529","65,085","112,890","108,483","135,159","106,984","138,907","180,293"
2022.03.30.00,"33,753","55,376","95,433","75,118","119,150","79,934","98,454","63,687","110,293","106,238","132,305","104,368","136,200","176,765"
2022.03.29.00,"32,835","53,872","92,993","72,934","115,116","77,705","95,523","61,840","106,171","102,955","127,626","100,529","132,333","172,292"
2022.03.28.00,"31,878","52,391","90,277","70,754","112,560","75,425","93,028","59,946","104,109","100,665","124,805","98,869","128,813","167,386"
2022.03.27.00,"31,577","51,652","89,302","70,003","110,620","74,131","92,006","59,393","102,916","99,426","123,374","96,873","126,296","165,373"
2022.03.26.00,"30,903","50,720","87,345","68,329","108,254","72,644","89,871","57,925","100,349","96,989","120,413","95,124","123,992","161,650"
2022.03.25.00,"32,582","49,989","85,386","68,116","104,591","70,928","87,350","58,920","98,149","94,437","115,209","93,238","117,573","154,279"
2022.03.24.00,"29,329","48,249","83,093","64,872","101,922","68,483","85,121","54,772","95,143","91,921","113,972","90,047","116,637","153,497"
2022.03.23.00,"28,381","46,631","80,636","62,635","98,744","66,378","82,432","52,908","91,734","88,904","110,587","86,481","112,922","148,775"
2022.03.22.00,"27,191","44,587","77,498","60,062","93,813","63,736","78,848","50,713","86,594","84,724","105,402","82,847","107,360","142,373"
2022.03.21.00,"26,097","43,051","74,684","57,799","91,813","61,469","76,038","48,710","84,310","81,990","102,490","80,853","104,101","137,662"
2022.03.20.00,"25,819","42,476","73,647","57,038","89,173","60,177","74,801","48,150","81,824","80,649","100,796","78,789","101,267","135,327"
2022.03.19.00,"24,821","41,106","71,630","55,184","86,686","58,376","72,381","46,565","79,902","77,934","97,363","76,162","99,069","130,803"
2022.03.18.00,"23,909","39,366","68,935","53,157","83,080","56,199","69,647","44,651","75,241","74,725","92,685","73,232","93,752","125,987"
2022.03.17.00,"22,932","37,321","65,738","50,909","79,524","52,916","66,941","42,701","71,538","71,705","89,619","70,430","89,860","120,880"
2022.03.16.00,"21,168","34,034","60,783","47,343","74,453","48,925","62,117","39,176","66,103","65,763","82,317","65,696","84,427","113,881"
2022.03.15.00,"19,992","32,986","58,374","45,085","69,621","46,768","59,276","37,086","63,505","62,724","77,678","62,098","81,663","106,449"
2022.03.14.00,"19,191","31,791","55,686","42,681","66,730","43,506","56,612","35,545","61,180","60,831","74,665","59,766","78,966","102,712"
2022.03.13.00,"18,550","30,577","53,712","41,161","64,145","42,495","54,273","33,812","58,881","58,304","72,073","57,932","76,181","98,302"
2022.03.12.00,"17,645","29,090","51,056","39,096","60,949","41,217","51,684","32,393","56,504","55,319","68,428","55,434","72,988","93,547"
2022.03.11.00,"16,683","27,392","48,188","36,710","57,251","38,365","48,738","30,901","52,933","52,121","64,516","52,322","68,946","88,590"
2022.03.10.00,"15,920","26,415","46,087","35,284","54,677","36,233","46,666","29,530","50,956","49,791","61,708","49,568","66,136","85,035"
2022.03.09.00,"15,119","25,014","43,849","33,420","51,627","35,065","44,320","27,882","48,088","46,953","57,551","47,246","63,331","80,661"
2022.03.08.00,"14,174","23,452","41,014","31,196","48,483","32,855","41,650","26,170","44,780","43,747","54,217","44,377","59,976","75,874"
2022.03.07.00,"13,759","22,810","39,443","30,007","46,798","30,886","40,350","25,261","43,575","42,733","52,735","42,939","58,017","73,337"
2022.03.06.00,"13,322","22,047","38,084","29,034","44,895","29,774","38,850","24,263","42,210","41,115","51,049","41,238","56,172","70,556"
2022.03.05.00,"12,677","21,004","36,257","27,734","42,663","28,638","36,978","23,156","40,027","39,120","48,857","39,643","53,847","67,027"
2022.03.04.00,"12,083","19,937","34,529","26,314","40,268","26,686","34,994","21,947","37,799","37,026","46,354","37,747","51,478","63,423"
2022.03.03.00,"11,448","18,730","32,404","24,684","37,793","24,391","32,684","20,303","35,701","35,035","43,598","35,290","48,683","59,697"
2022.03.02.00,"10,981","17,996","31,147","23,627","35,378","22,203","31,186","18,776","34,172","33,478","41,592","33,407","46,595","56,673"
2022.03.01.00,"10,299","17,029","29,198","22,165","33,740","21,795","29,277","18,334","32,367","31,197","38,937","31,666","44,338","53,158"
2022.02.28.00,"9,987","16,570","28,062","21,384","32,670","20,923","28,244","17,389","30,933","30,483","38,017","30,781","42,886","51,471"
2022.02.27.00,"9,703","15,964","27,138","20,661","31,363","20,299","27,079","16,870","30,029","29,178","36,849","29,595","41,393","49,413"
2022.02.26.00,"9,333","15,263","25,818","19,698","29,761","19,339","25,688","16,215","28,502","27,832","35,245","28,256","39,701","46,669"
2022.02.25.00,"8,891","14,581","24,597","18,717","28,117","18,438","24,315","15,579","26,796","26,527","33,471","26,776","37,948","44,487"
2022.02.24.00,"8,477","13,869","23,400","17,659","26,841","17,320","22,974","14,902","25,531","25,140","31,759","25,057","35,761","42,121"
2022.02.23.00,"8,023","13,164","22,163","16,680","25,075","16,383","21,681","13,963","24,233","23,678","30,020","23,629","33,771","39,784"
2022.02.22.00,"7,553","12,269","20,856","15,605","23,063","15,198","20,200","13,187","22,738","22,085","28,034","21,923","31,505","36,672"
2022.02.21.00,"7,305","12,001","20,142","15,064","21,983","14,649","19,445","12,726","21,841","21,480","27,295","21,085","30,010","35,199"
2022.02.20.00,"7,088","11,543","19,502","14,500","21,494","14,127","18,674","12,332","21,178","20,513","26,633","20,277","28,902","33,472"
2022.02.19.00,"6,854","11,135","18,615","13,799","20,751","13,709","17,732","11,654","20,499","19,681","25,361","19,571","27,797","32,059"
2022.02.18.00,"6,571","10,735","17,853","13,127","19,871","13,181","16,848","11,154","19,632","18,720","24,160","18,632","26,620","30,565"
2022.02.17.00,"6,313","10,242","17,051","12,496","18,775","12,470","15,877","10,557","18,534","17,692","22,809","17,646","25,413","28,864"
2022.02.16.00,"6,092","9,837","16,313","11,901","18,077","11,843","15,164","10,154","17,909","16,828","21,705","16,862","24,244","27,646"
2022.02.15.00,"5,913","9,497","15,542","11,269","17,370","11,287","14,405","9,877","17,233","16,075","20,776","16,098","23,204","26,290"
2022.02.14.00,"5,777","9,279","15,097","10,920","16,651","10,818","14,021","9,547","16,808","15,670","20,391","15,658","22,385","25,608"
2022.02.13.00,"5,686","9,023","14,752","10,581","16,239","10,558","13,607","9,282","16,425","15,250","19,801","15,272","21,753","24,882"
2022.02.12.00,"5,575","8,775","14,377","10,274","15,786","10,360","13,128","9,052","16,068","14,815","19,206","14,842","21,006","24,082"
2022.02.11.00,"5,455","8,535","13,906","10,019","15,093","9,958","12,638","8,755","15,666","14,312","18,510","14,332","20,089","23,344"
2022.02.10.00,"5,350","8,294","13,504","9,673","14,528","9,610","12,265","8,447","15,211","13,929","17,555","13,845","19,538","22,650"
2022.02.09.00,"5,244","8,077","13,164","9,438","13,970","9,175","11,836","8,210","14,765","13,516","16,889","13,427","18,697","21,953"
2022.02.08.00,"5,032","7,831","12,804","9,200","13,270","8,914","11,435","7,947","14,372","13,061","16,600","12,999","17,873","20,905"
2022.02.07.00,"5,017","7,709","12,579","8,981","12,975","8,682","11,183","7,839","14,131","12,785","16,430","12,778","17,405","20,681"
2022.02.06.00,"4,923","7,562","12,362","8,768","12,703","8,537","10,926","7,684","13,855","12,445","16,053","12,463","17,239","19,986"
2022.02.05.00,"4,826","7,411","12,081","8,545","12,389","8,353","10,718","7,525","13,533","12,056","15,690","12,066","17,001","19,272"
2022.02.04.00,"4,737","7,252","11,807","8,342","12,004","8,183","10,382","7,328","13,237","11,576","15,102","11,588","16,741","18,588"
2022.02.03.00,"4,627","7,078","11,623","8,200","11,819","8,004","10,146","7,142","13,003","11,354","14,941","11,183","16,541","18,115"
2022.02.02.00,"4,555","6,923","11,463","8,033","11,674","7,893","9,924","7,094","12,780","11,098","14,701","10,970","16,348","17,692"
2022.02.01.00,"4,493","6,794","11,365","7,912","11,569","7,760","9,726","6,959","12,597","10,934","14,418","10,800","16,198","17,304"
2022.01.31.00,"4,439","6,698","11,227","7,805","11,445","7,655","9,580","6,854","12,456","10,764","14,233","10,685","15,912","17,022"
2022.01.30.00,"4,404","6,597","11,096","7,720","11,346","7,565","9,410","6,779","12,302","10,582","13,927","10,499","15,657","16,716"
2022.01.29.00,"4,348","6,499","10,958","7,638","11,149","7,442","9,248","6,715","12,147","10,388","13,722","10,312","15,454","16,429"
2022.01.28.00,"4,284","6,387","10,834","7,538","11,001","7,328","9,065","6,652","11,982","10,242","13,466","10,092","15,206","16,160"
2022.01.27.00,"4,235","6,277","10,654","7,465","10,869","7,208","8,906","6,576","11,823","10,048","13,261","9,900","14,949","15,871"
2022.01.26.00,"4,196","6,197","10,546","7,386","10,745","7,108","8,751","6,508","11,694","9,887","13,038","9,728","14,732","15,622"
2022.01.25.00,"4,162","6,108","10,473","7,335","10,628","6,997","8,608","6,447","11,567","9,742","12,802","9,600","14,513","15,446"
2022.01.24.00,"4,129","6,072","10,448","7,303","10,590","6,963","8,563","6,432","11,484","9,675","12,706","9,515","14,348","15,330"
2022.01.23.00,"4,111","6,026","10,394","7,275","10,540","6,895","8,497","6,396","11,427","9,604","12,594","9,444","14,208","15,219"
